date_de_classement;date_de_publication_de_l_etablissement;dept;classement;nom_commercial;adresse;code_postal;commune;telephone;courriel;site_internet;capacite_d_accueil_personnes;nombre_de_chambres;lat;lng;wgs84
2011-07-10;2011-10-13;92;2 étoiles;ETAP HOTEL;147 BOULEVARD NATIONAL;92500;RUEIL-MALMAISON;08 92 68 12 78;H3589-re@accor.com;-;427;144;48.8909331;2.1785135;48.8909331, 2.1785135
2011-04-04;2011-07-04;92;3 étoiles;IBIS PARIS RUEIL MALMAISON;16 BOULEVARD DE L HOPITAL STELL;92500;RUEIL MALMAISON;01 47 32 96 96;ibisrueil@orange.fr;http://www.ibishotel.com;174;54;48.8800373;2.1850194;48.8800373, 2.1850194
2012-10-09;2012-10-09;95;1 étoile;PREMIÈRE CLASSE HERBLAY;4 rue René Coty;95220;HERBLAY;01 39 31 18 14;manager.herblay@premiereclasse.fr;http://www.premiereclasse.com;225;83;49.0019258;2.1854838;49.0019258, 2.1854838
2012-02-08;2012-02-08;91;1 étoile;LE NOUVEAU MONDE;42 ROUTE D'ARPAJON;91650;BREUILLET;01 64 58 41 35;contact@lenouveaumonde.eu;http://www.lenouveaumonde.eu;42;19;48.577797;2.193536;48.577797, 2.193536
2012-06-26;2012-06-26;92;2 étoiles;ETAP HOTEL NANTERRE LA DEFENSE;38 avenue georges clémenceau;92000;NANTERRE;01 46 69 80 02;etapnld@gmail.com;http://etaphotel.com;325;126;48.8867668;2.2035074;48.8867668, 2.2035074
2012-06-06;2012-06-28;92;2 étoiles;HÔTEL L'AMANDIER;14 avenue Pablo Picasso;92000;NANTERRE;01 47 29 10 77;ace-hotellerie@wanadoo.fr;http://hotel-amandier-nanterre.com;120;60;48.8930455;2.2128517;48.8930455, 2.2128517
2011-06-23;2011-06-27;92;3 étoiles;HOTEL IBIS PARIS MEUDON VELIZY;7 ROUTE DU COLONEL MARCEL MORAINE;92360;MEUDON LA FORÊT;01 45 37 09 09;h0948-gm@accor.com;-;130;64;48.7935422;2.2196312;48.7935422, 2.2196312
2011-04-04;2011-08-04;92;4 étoiles;HOTEL ET RESIDENCE MERCURE PARIS LA DEFENSE PARC;17/20 ESPLANADE CHARLES DE GAULLE;92000;NANTERRE;01 46 69 68 00;H1982@ACCOR.COM;http://www.accorhotels.com/fr/hotel-1982-hotel-residence-mercure-paris-la-defense-parc/index.shtml;350;160;48.8956373;2.2224584;48.8956373, 2.2224584
2012-07-19;2012-07-19;78;2 étoiles;HÔTEL IBIS BUDGET VÉLIZY;1 Rue du Patit Clamart;78140;VÉLIZY-VILLACOUBLAY;08 92 68 30 67;H5093-RE@accor.com;http://www.etaphotel.com/fr/hotel-5093-ibis-budget-velizy-ex-etap-hotel/index.shtml;385;123;48.7818907;2.225933;48.7818907, 2.225933
2011-04-14;2011-04-26;92;3 étoiles;HÔTEL IBIS PARIS PONT DE SURESNES;6 rue des Bourets;92150;SURESNES;01 45 06 44 88;h0716-gm@accor.com;http://www.ibishotel.com;133;62;48.868388;2.2271713;48.868388, 2.2271713
2012-03-07;2012-03-07;92;3 étoiles;QUALITY HÔTEL ACANTHE;9 rond point Rhin et Danube;92100;BOULOGNE-BILLANCOURT;01 46 99 10 40;domus@hotelacanthe.com;http://www.hotelacanthe.com;220;69;48.8403686;2.2282792;48.8403686, 2.2282792
2012-12-04;2012-06-28;92;4 étoiles;HÔTEL COURTYARD BY MARRIOTT PARIS DEFENSE WEST;91 boulevard Charles de Gaulle;92700;COLOMBES;01 47 69 59 23;cy.parcf.ops.sup5@courtyard.com;http://www.courtyardcolombes.com;300;150;48.9124508;2.2312518;48.9124508, 2.2312518
2012-08-08;2012-08-08;95;2 étoiles;IBIS BUDGET ARGENTEUIL BORDS DE SEINE;118 RUE MICHEL CARRé;95100;ARGENTEUIL;08 92 68 31 85;h2561-re@accor.com;http://www.accorhotels.com;142;47;48.9324735;2.2336056;48.9324735, 2.2336056
2012-08-08;2012-08-08;92;3 étoiles;HÔTEL DOUGLAS;85 boulevard Richard Wallace;92800;PUTEAUX;01 45 06 55 51;resa@hotel-douglas.com;http://hotel-douglas.com/fr/;72;32;48.8824153;2.2342739;48.8824153, 2.2342739
2011-12-04;2011-04-15;92;4 étoiles;NOVOTEL PARIS LA DÉFENSE;2 BOULEVARD DE NEUILLY;92091;PARIS LA DÉFENSE;01 41 45 23 70;H0747-GM@ACCOR.COM;http://www.novotel.com;1377;280;48.8928544;2.2372104;48.8928544, 2.2372104
2012-07-16;2012-07-16;92;2 étoiles;HÔTEL PARIS LA DÉFENSE;116 rue de la république;92800;PUTEAUX;01 47 76 19 60;hotelparis2@wanadoo.fr;http://www.hotelparisladefense.com/;34;21;48.8845593;2.2382134;48.8845593, 2.2382134
2011-08-09;2012-06-14;92;2 étoiles;HOTEL DE PARIS;104 bis rue de Paris;92100;BOULOGNE-BILLANCOURT;01 46 05 13 82;contact@hotel-paris-boulogne.com;http://www.hoteldeparisboulogne.com;49;31;48.841152;2.2402787;48.841152, 2.2402787
2011-10-05;2011-05-16;92;2 étoiles;HOTEL B PARIS BOULOGNE;210 bis boulevard jean jaures;92100;BOULOGNE-BILLANCOURT;01 46 21 45 25;hotelb92@gmail.com;http://www.hotelbparisboulogne.com;85;47;48.8319943;2.2442998;48.8319943, 2.2442998
2012-04-29;2012-06-16;92;3 étoiles;HÔTEL CENTRAL LA DEFENSE;99 RUE DU CAPITAINE GUYNEMER;92400;COURBEVOIE;01 47 89 25 25;CENTRAL-LADEFENSE@WANADOO.FR;http://www.central-courbevoie-hotel.com;94;55;48.8974005;2.2471;48.8974005, 2.2471
2012-07-16;2012-07-16;92;2 étoiles;ACROPOLIS HÔTEL PARIS BOULOGNE;63 Rue Thiers;92100;BOULOGNE-BILLANCOURT;01 46 08 16 01;direction_acropolis-hotel@wanadoo.fr;-;60;30;48.8359407;2.2492753;48.8359407, 2.2492753
2011-08-04;2011-11-04;92;3 étoiles;HOTEL IBIS LA DÉFENSE;4 BOULEVARD DE NEUILLY;92081;COURBEVOIE;01 41 97 40 40;H0771-RD@ACCOR.COM;http://www.ibishotel.com/;600;286;48.8888023;2.2510611;48.8888023, 2.2510611
2011-06-05;2011-05-16;92;3 étoiles;IBIS PARIS LA DÉFENSE COURBEVOIE;39, quai du président paul doumer;92400;COURBEVOIE;01 49 97 05 50;H3296-GM@ACCOR.COM;-;290;129;48.8934566;2.2599364;48.8934566, 2.2599364
2012-07-23;2012-07-23;75;2 étoiles;HÔTEL EXELMANS;73 rue Boileau;75016;PARIS;01 42 24 94 66;exelmans@escapade-paris.com;http://www.hotelexelmans.com;98;48;48.8415348;2.2626189;48.8415348, 2.2626189
2011-02-05;2011-11-05;78;3 étoiles;HOTEL AMARYS;6 bis rue des graviers;78280;GUYANCOURT;01 30 64 04 04;nicolasdelecroix@wanadoo.fr;http://www.amarys-guyancourt.com;405;61;48.8827489;2.2639029;48.8827489, 2.2639029
2012-02-08;2012-02-08;95;4 étoiles;HOSTELLERIE DU PRIEURÉ;74 rue Auguste Rey;95390;SAINT-PRIX;01 34 27 51 51;contact@hostelduprieure.com;www.hostelduprieure.com;18;8;49.0160643;2.2659255;49.0160643, 2.2659255
2012-05-24;2012-06-28;92;3 étoiles;HÔTEL DE LA JATTE;4 boulevard du Parc;92200;NEUILLY-SUR-SEINE;01 46 24 32 62;hoteldelajatte@wanadoo.fr;http://www.hoteldelajatte.com;144;71;48.8940608;2.2664477;48.8940608, 2.2664477
2012-11-27;2012-11-27;92;2 étoiles;HÔTEL AU FIRMAMENT;58 rue de la sablière;92600;ASNIÈRES-SUR-SEINE;01 47 93 10 66;aufirmament@gmail.com;http://www.choicehotels.fr;78;39;48.9064578;2.2691583;48.9064578, 2.2691583
2012-10-16;2012-10-16;75;3 étoiles;HÔTEL BEAUSÉJOUR RANELAGH;99 rue de ranelagh;75016;PARIS;01 42 88 14 39;hotelbeausejourranelagh@wanadoo.fr;www.beausejour-ranelagh.com;64;30;48.8556099;2.2698155;48.8556099, 2.2698155
2013-03-18;2013-03-18;92;3 étoiles;BEST WESTERN PARIS PORTE DE VERSAILLES;11 bis avenue Jean Jaurès;92130;ISSY-LES-MOULINEAUX;01 40 93 18 01;contacts@bwportedeversailles.com;www.bwportedeversailles.com;70;35;48.8234583;2.274653;48.8234583, 2.274653
2012-08-21;2012-08-21;75;4 étoiles;HÔTEL AUTEUIL TOUR EIFFEL;8-10 rue félicien David;75016;PARIS;01 40 50 57 57;hotel@auteuiltoureiffel.com;www.auteuiltoureiffel.com;186;94;48.8505742;2.2753502;48.8505742, 2.2753502
2013-12-02;2013-12-02;75;2 étoiles;HÔTEL DU PARC SAINT CHARLES;243 RUE SAINT-CHARLES;75015;PARIS;01 45 57 83 86;reception@hotelduparcstcharles.com;http://www.hotelduparcstcharles.com/;30;15;48.8371494;2.2775229;48.8371494, 2.2775229
2012-12-21;2012-12-21;92;2 étoiles;HÔTEL MAILLOT;46 rue de Sablonville;92200;NEUILLY-SUR-SEINE;01 46 24 23 45;hotel.maillot@orange.fr;www.hotelmaillot.com;64;33;48.8804064;2.2778918;48.8804064, 2.2778918
2012-08-27;2012-08-27;75;3 étoiles;HÔTEL RÉSIDENCE FOCH;10 RUE MARBEAU;75116;PARIS;01 45 00 46 50;reservation@foch.com;www.residencefoch.com;52;25;48.8742766;2.2810339;48.8742766, 2.2810339
2012-07-31;2012-07-31;95;2 étoiles;BALLADINS EAUBONNE;16 Avenue de Paris;95600;EAUBONNE;01 34 16 19 19;eaubonne@balladins.com;http://www.balladins.com;96;45;48.9927276;2.2832326;48.9927276, 2.2832326
2012-02-08;2012-02-08;75;3 étoiles;HÔTEL RÉSIDENCE IMPERIALE;155 Avenue de Malakoff;75116;PARIS;01 45 00 23 45;laurentberteau@residenceimperiale.com;http://www.residenceimperiale.com;74;37;48.876127;2.2834758;48.876127, 2.2834758
2012-04-20;2012-06-25;92;4 étoiles;OCEANIA PARIS PORTE DE VERSAILLES;6 rue ernest renan;92130;ISSY-LES-MOULINEAUX;01 56 09 09 09;premy@oceaniahotels.com;http://www.oceaniahotels.com;500;250;48.8300319;2.284088;48.8300319, 2.284088
2010-07-27;2010-07-30;75;3 étoiles;HOTEL PALAIS DE CHAILLOT;35 avenue Raymond Poincaré;75116;PARIS;04 53 70 09 09;vallin@hotelpalaisdechaillot.com;http://www.hotelpalaisdechaillot.com;54;31;48.8657758;2.2861784;48.8657758, 2.2861784
2012-06-03;2012-07-03;75;3 étoiles;HOTEL ETOILE TROCADERO;21 RUE SAINT DIDIER;75116;PARIS;01 45 53 01 82;hotel@etoiletrocadero.com;http://www.etoiletrocadero.com;42;23;48.8657441;2.2862072;48.8657441, 2.2862072
2012-03-14;2012-03-23;75;2 étoiles;HOTEL MARMOTEL;34 AVENUE DE LA GRANDE ARMEE;75017;PARIS;01 47 63 57 26;marmotel@aol.com;http://www.paris-hotel-marmotel.com;42;23;48.8767003;2.2870159;48.8767003, 2.2870159
2011-10-20;2011-10-26;75;4 étoiles;HÔTEL ETOILE SAINT FERDINAND;36 rue St Ferdinand;75017;PARIS;01 45 72 66 66;ferdinand@my-paris-hotel.com;http://www.hotel-paris-ferdinand.com;82;42;48.8777189;2.2873076;48.8777189, 2.2873076
2012-06-27;2012-06-27;75;3 étoiles;HÔTEL FLORIDE ÉTOILE;14 RUE SAINT-DIDIER;75116;PARIS;01 47 27 23 36;a.martingarden@wanadoo.fr;http://floride-paris-hotel.com;115;60;48.8661988;2.2878773;48.8661988, 2.2878773
2012-06-04;2012-10-04;75;4 étoiles;HÔTEL GARDEN ÉLYSEES;12 RUE SAINT DIDIER;75116;PARIS;01 47 55 01 11;a.martingarden@wanadoo.fr;http://www.paris-hotel-gardenelysee.com;96;46;48.866227;2.288221;48.866227, 2.288221
2012-11-07;2012-11-07;75;3 étoiles;HÔTEL DE LA PAIX;43 RUE DURANTON  PARIS;75015;PARIS;01 45 57 14 70;jacquesparis15@wanadoo.fr;http://www.paix-paris-hotel.com/;84;37;48.8387311;2.2887737;48.8387311, 2.2887737
2011-11-05;2011-05-25;75;3 étoiles;ALL SEASONS PARIS 15 LECOURBE;192 RUE DE LA CROIX NIVERT;75015;PARIS;01 45 58 16 08;h7308-gm@accor.com;http://www.allseasons-hotels.com;98;49;48.8387874;2.2894587;48.8387874, 2.2894587
2012-06-04;2012-11-04;75;4 étoiles;MON HOTEL;1 rue d'Argentine;75116;PARIS;01 45 02 76 76;marietrouiller@monhotel.fr;http://www.monhotel.fr;74;36;48.8743263;2.289748;48.8743263, 2.289748
2011-07-18;2011-07-28;92;3 étoiles;HOTEL IBIS LEVALLOIS PERRET;24 RUE TREBOIS;92300;LEVALLOIS-PERRET;01 47 57 43 99;H5479-GM@ACCOR.COM;-;92;52;48.8912661;2.2899516;48.8912661, 2.2899516
2012-12-03;2012-12-03;75;3 étoiles;HOTEL BEAUGRENELLE TOUR EIFFEL;19 RUE  VIALA;75015;PARIS;01 45 77 40 78;info@hotelbeaugrenelle.com;http://www.hotelbeaugrenelle.com;97;47;48.8502677;2.2901533;48.8502677, 2.2901533
2012-06-11;2012-06-11;75;4 étoiles;JAYS PARIS;6 rue Copernic;75016;PARIS;01 47 04 16 16;info@jays-paris.com;http://www.jays-paris.com/;10;5;48.8690398;2.2909853;48.8690398, 2.2909853
2012-05-14;2012-05-14;75;3 étoiles;HOTEL DOISY;55 Avenue des Ternes;75017;PARIS;01 45 74 21 86;veronique.vialatte@orange.fr;http://www.doisy.com;74;33;48.8789793;2.2919273;48.8789793, 2.2919273
2012-09-05;2012-09-05;75;4 étoiles;HOTEL LE MARQUIS EIFFEL;15, Rue Dupleix;75015;PARIS;01 43 06 31 50;lemarquis@inwoodhotel.com;http://fr.lemarquisparis.com/;72;36;48.8509107;2.2920846;48.8509107, 2.2920846
2012-08-08;2012-08-08;92;2 étoiles;LES JARDINS D’ASNIÈRES;83 Boulevard Voltaire;92600;ASNIÈRES-SUR-SEINE;01 47 91 46 52;contact@hotel-jardins-asnieres.fr;http://www.hotel-jardins-asnieres.com/;86;39;48.9154949;2.2922795;48.9154949, 2.2922795
2012-03-02;2012-02-17;75;4 étoiles;HOTEL HIDDEN;28 rue de l’arc de triomphe;75017;PARIS;01 40 55 03 57;contact@hidden-hotel.com;http://www.hidden-hotel.com;46;26;48.8775467;2.293379;48.8775467, 2.293379
2012-08-13;2012-08-13;75;2 étoiles;HÔTEL LE VILLIERS;133 avenue de villiers;75017;PARIS;01 46 22 50 90;reservation@hotel-villiers.com;www.hotel-villiers.com;58;26;48.885313;2.2933858;48.885313, 2.2933858
2011-03-14;2011-03-18;75;5 étoiles;SHANGRI-LA HÔTEL PARIS;10 avenue d'Iéna;75116;PARIS;01 53 67 19 98;reservations.slpr@shangri-la.com;http://www.shangri-la.com/Paris;160;80;48.8639316;2.2935231;48.8639316, 2.2935231
2010-11-19;2010-11-24;75;3 étoiles;BEST WESTERN STAR CHAMPS ELYSEES;18 RUE DE L'ARC DE TRIOMPHE;75017;PARIS;01 43 80 27 69;psalles@hes-france.com;http://www.hotelstarchampselysees.com;116;62;48.8770986;2.293623;48.8770986, 2.293623
2011-10-19;2011-10-20;75;5 étoiles;VILLA & HOTEL MAJESTIC;30 rue Lapérouse;75116;PARIS;01 45 00 83 70;management@majestic-hotel.com;http://www.majestic-hotel.com;151;49;48.8702609;2.2937772;48.8702609, 2.2937772
2012-05-24;2012-05-25;75;3 étoiles;HOTEL CHAMPERRET ELYSEES;129 AVENUE DE VILLIERS;75017;PARIS;01 47 64 44 00;c.mahy@champerret-elysees.fr;http://www.champerret-elysees.fr;92;45;48.8852253;2.2939501;48.8852253, 2.2939501
2012-10-09;2012-10-09;75;3 étoiles;HÔTEL ÉTOILE PEREIRE;146 boulevard Péreire;75017;PARIS;01 42 67 60 00;hep75017@gmail.com;http://www.etoilepereire.com;48;26;48.8835866;2.2940713;48.8835866, 2.2940713
2012-08-22;2012-08-22;92;3 étoiles;HÔTEL LE COLBERT;20 avenue Camberwell;92330;SCEAUX;01 46 60 02 21;hotel.colbert@wanadoo.fr;www.hotelcolbert.fr;96;47;48.7788614;2.2942326;48.7788614, 2.2942326
2010-04-22;2010-04-26;75;3 étoiles;ETOILE PARK HOTEL;10 avenue MAC-MAHON;75017;PARIS;01 42 67 69 63;reservation@etoileparkhotel.com;http://www.etoileparkhotel.com;;28;48.8756718;2.2944865;48.8756718, 2.2944865
2011-04-21;2011-03-05;75;3 étoiles;IBIS PARIS CONVENTION SARL HOTEL NORD SUD;5 RUE EUGENE GIBEZ;75015;PARIS;01 48 28 63 14;H3267-GM@ACCOR.COM;-;90;48;48.8359166;2.2949373;48.8359166, 2.2949373
2012-07-16;2012-07-16;75;3 étoiles;HÔTEL PLAZA ÉTOILE;21 Avenue de Wagram;75017;PARIS;01 43 80 42 24;pe@hotels-emeraude.com;www.hotels-emeraude.com;79;33;48.8759594;2.296467;48.8759594, 2.296467
2011-04-04;2011-06-04;75;4 étoiles;MERCURE  PARIS ARC DE TRIOMPHE WAGRAM;3 RUE BREY;75017;PARIS;01 56 68 00 01;H2053-GM@ACCOR.COM;http://WWW.MERCURE.COM;76;43;48.8758621;2.2966234;48.8758621, 2.2966234
2012-07-23;2012-07-23;75;3 étoiles;HÔTEL CONVENTION MONTPARNASSE;41 rue Alain Chartier;75015;PARIS;01 48 28 43 00;hotelconvention@free.fr;http://www.hotel-convention-montparnasse.com;74;37;48.8372294;2.2970367;48.8372294, 2.2970367
2012-11-07;2012-11-07;75;3 étoiles;HÔTEL CHAMBELLAN MORGANE;6 rue Keppler;75116;PARIS;06 17 59 49 74;jugurta.timsiline@gmail.com;http://www.hotelchambellanmorgane.fr;40;20;48.8696735;2.2974963;48.8696735, 2.2974963
2012-12-13;2012-12-13;75;3 étoiles;TOURISME HÔTEL;66 avenue de La Motte Picquet;75015;PARIS;01 47 34 28 01;contact@tourismehotel.fr;www.tourism-hotel-paris.com;130;55;48.8495104;2.2979103;48.8495104, 2.2979103
2011-02-23;2011-02-03;75;3 étoiles;BEST WESTERN EIFFEL CAMBRONNE;46 RUE DE LA CROIX NIVERT;75015;PARIS;01 56 58 56 78;abcambronne@yahoo.fr;http://www.eiffel-cambronne.fr;64;31;48.8458313;2.298404;48.8458313, 2.298404
2012-08-08;2012-08-08;75;3 étoiles;HÔTEL VAL GIRARD;14 RUE PéTEL;75015;PARIS;01 48 28 53 96;adelaide.pujol@hotel-valgirard.com;http://www.hotel-valgirard.com;80;38;48.8406963;2.2993916;48.8406963, 2.2993916
2012-03-27;2012-03-27;75;4 étoiles;HOTEL FRANCOIS 1ER;07 RUE MAGELLAN;75008;PARIS;01 47 23 44 04;direction@hotel-francois1er.fr;http://the-paris-hotel.com;75;40;48.8701165;2.3000356;48.8701165, 2.3000356
2012-06-30;2012-06-30;75;5 étoiles;HÔTEL BALZAC;6 RUE BALZAC;75008;PARIS;01 44 35 18 00;ascarvelis@jjwhotels.com;http://www.hotelbalzac.com;134;69;48.873256;2.300304;48.873256, 2.300304
2011-03-28;2011-11-05;75;4 étoiles;BEST WESTERN DE NEUVILLE;3 rue verniquet;75017;PARIS;01 43 80 26 30;leo.teboul@book-inn-france.com;http://www.paris-hotel-neuville.com;49;28;48.8868999;2.3004864;48.8868999, 2.3004864
2012-07-19;2012-07-19;75;5 étoiles;HÔTEL DE VIGNY;9 rue Balzac;75008;PARIS;01 42 99 80 80;ascarvelis@jjwhotels.com;http://www.hoteldevigny.com/;73;37;48.8739382;2.300493;48.8739382, 2.300493
2012-12-20;2012-12-20;75;3 étoiles;HÔTEL DE LONDRES EIFFEL;1 RUE AUGEREAU;75007;PARIS;01 45 51 63 02;info@londres-eiffel.com;-;54;30;48.8581392;2.3014609;48.8581392, 2.3014609
2012-11-28;2012-11-28;92;2 étoiles;HÔTEL DE LA PLACE;21 rue Henri Martin;92240;MALAKOFF;01 47 35 36 00;hotel.place@yahoo.fr;http://www.hoteldelaplacemalakoff.com;39;18;48.8218813;2.3017202;48.8218813, 2.3017202
2012-07-23;2012-07-23;75;2 étoiles;HÔTEL AJIEL;237 RUE DE LA CONVENTION;75015;PARIS;01 55 76 31 31;ajiel.hotel@wanadoo.fr;http://www.ajiel-hotel-paris.com/;135;60;48.8357474;2.3020213;48.8357474, 2.3020213
2011-12-29;2012-09-01;91;3 étoiles;HOTEL IBIS MASSY;6 RUE DU SAULE TRAPU;91300;MASSY;01 60 11 20 30;benjamin.larroutis@accor.com;http://www.ibishotel.com;164;68;48.7292018;2.3021632;48.7292018, 2.3021632
2012-07-13;2012-07-13;75;3 étoiles;HÔTEL EIFFEL RIVE GAUCHE;6 RUE DU GROS CAILLOU;75007;PARIS;01 45 51 51 51;rivegauche@hotel-eiffel.com;www.hotel-eiffel.com;63;29;48.8574359;2.3024582;48.8574359, 2.3024582
2012-09-20;2012-09-20;75;3 étoiles;HÔTEL MAYFLOWER;3 rue de Chateaubriand;75008;PARIS;01 45 62 57 46;reception@hotelmayflower.com;www.hotelmayflowerparis.com;48;24;48.8731327;2.3025381;48.8731327, 2.3025381
2012-12-07;2012-12-07;75;4 étoiles;HÔTEL POWERS;52 rue François 1er;75008;PARIS;01 47 23 91 05;resa@hotel-powers.com;www.hotel-powers.com;108;55;48.8690477;2.3031137;48.8690477, 2.3031137
2013-03-06;2013-03-06;75;4 étoiles;HÔTEL MONTAIGNE;6 Avenue Montaigne;75008;PARIS;01 80 97 40 00;resa@montaigne-hotel.com;http://www.montaigne-hotel.com/;56;27;48.8655336;2.3037586;48.8655336, 2.3037586
2012-04-01;2012-09-01;92;1 étoile;HOTEL PREMIERE CLASSE PARIS-OUEST GENNEVILLIERS BARBANNIERS;ZAC DES BARBANNIERS - 4 AVENUE GENERAL DE GAULLE;92230;GENNEVILLIERS;01 40 85 16 19;manager.gennevilliers.barbanniers@premiereclasse.fr;http://www.premiere-classe-gennevilliers-barbanniers.fr/fr/index.aspx;337;111;48.933074;2.30424;48.933074, 2.30424
2009-07-10;2010-02-04;75;5 étoiles;HÔTEL PLAZA ATHÉNÉE;25 avenue Montaigne;75008;PARIS;01 53 67 66 65;reservations@plaza-athenee-paris.com;http://www.plaza-athenee-paris.fr/hotel-paris;;191;48.866098;2.304361;48.866098, 2.304361
2010-11-17;2010-11-19;75;3 étoiles;HOTEL EIFFEL SEGUR;34 boulevard Garibaldi;75015;PARIS;01 43 06 60 50;reservation@paris-hotel-eiffel-segur.com;http://www.paris-hotel-eiffel-segur.com/;67;34;48.8466942;2.3049357;48.8466942, 2.3049357
2010-10-12;2011-04-01;75;3 étoiles;HÔTEL RELAIS BOSQUET;19, rue du Champ de Mars;75007;PARIS;01 47 05 25 45;philippe.hervois@relais-bosquet.com;http://www.hotelrelaisbosquet-paris.com;85;40;48.8562339;2.3050088;48.8562339, 2.3050088
2012-07-25;2012-07-25;75;1 étoile;HÔTEL MISTRAL;3 RUE DE CHALIGNY;75012;PARIS;01 46 28 10 20;contact@hotelparismistral.com;http://www.hotelparismistral.com;;19;48.8453741;2.3833314;48.8453741, 2.3833314
